age,monthly_salary,years_at_company,job_satisfaction,performance_rating,work_life_balance,overtime_hours,attrition
59,33613.04221725189,14,4.127563741826629,1.549446983874697,4.412512687640946,17.561018365517153,0
49,55475.095619826476,2,4.91854281558162,2.107479877968049,4.7343218240267575,18.22154224596577,1
35,81291.373560534,18,4.563654298728444,1.1842522547279097,4.730408830014575,11.273664698860618,0
28,62392.11337774139,17,7.023777482456913,4.723296299960456,1.500920102514987,24.8135399789341,1
41,76333.9703542714,7,9.027037929309063,3.6431941187636414,2.528215530044228,13.290165355053873,1
59,72373.23919419864,16,3.7544631717050923,3.985451537252966,1.1129150386028255,30.215018976685943,1
39,85725.37226809202,7,5.966894227790671,2.246286958328916,4.420661379885891,13.424194535148445,1
43,81244.19701827424,6,8.104684797222271,4.382614089109369,2.435023048085095,23.41791468118964,1
31,50925.11382927116,6,4.7459625296081445,2.038413134833914,3.524468111568939,19.5365575394044,0
31,72658.8326758693,2,2.5130631555936627,1.0065750284497987,3.8595937523091544,35.55111619309301,1
44,29468.96276604507,0,5.274558687373734,2.505659850082776,2.7193786789726215,24.094793861980484,1
56,58841.9018532443,3,1.4970026866872561,3.2830459238362937,2.225769346200972,33.87007319124921,1
44,76369.69469277079,4,9.481451086020492,2.91481943186209,4.848851640463779,21.086235007771666,0
23,62676.953084919995,0,1.6733908467547574,4.448304570306388,4.857952900095417,18.292596994857185,0
42,68932.79463034171,14,4.946110437255204,1.4216211438246678,2.1577454721200877,19.61809230464775,1
22,55734.55248068417,4,5.768931349796736,3.2152937625349023,2.9185003869778323,12.285907986228075,1
44,82581.38875070286,12,9.867734490585569,3.0519173992836297,4.891376634640089,25.31668783703872,1
50,58391.68452582015,7,2.494196412785747,2.125571928688652,1.019473630622013,13.096416591965134,1
58,50690.99635191893,7,2.029883667511227,4.288912450308042,2.650712993516597,21.124630415178494,1
22,77730.34825138109,4,1.0783553235628922,4.011394623528825,1.4018301987238737,28.55201966463912,1
41,31896.8015527108,8,2.4001429318237206,3.931436749327324,3.0366318622504105,35.83548909776938,1
53,70020.6668703469,0,2.8654568116090084,4.504769913078224,1.0986798181619486,21.628600838649902,1
32,39150.302515457224,3,6.675228474247831,3.8911384024860847,2.6275937255625115,28.612070560660325,0
42,85558.53658476331,2,2.9773611135226035,1.9273651668589058,1.8827962991413405,27.41887750380814,1
45,54779.45493506409,1,1.1846873325639269,3.8222508465987644,3.133233449834963,16.176229091790244,0
47,62699.69441639377,7,8.439565109522398,2.2308112535593754,4.983974596402799,41.078034544241774,0
48,68251.40793288244,8,4.290361309035701,1.9686986013898822,4.202144420506991,14.237577971210566,0
36,21406.308073716857,1,4.183270179226605,1.2920143715985093,4.3825683664976856,20.909946261495655,1
35,46988.30316886286,13,3.7223112625113393,3.976114321390707,3.5410599494363235,34.541197533984274,1
23,80870.91818573108,13,9.778359494317789,3.844003847799245,1.1662393930890342,34.29458242798823,1
57,77355.30048341777,3,2.531038755783533,1.937997910696375,1.8271907041765765,20.143203980356613,1
27,65660.64410790433,5,9.084142575579117,3.997516066896624,4.70025822578822,29.90416747840628,1
41,33010.72857148953,10,7.991229989258992,4.671363532374212,2.464452471715005,17.760276635564445,1
29,71710.06921717158,2,1.6883195994938176,1.432115829966317,1.4145469059231823,15.113211097009419,1
59,74267.99180410891,7,9.880561913507638,1.9305465535470998,3.809621463464808,7.872109268815601,0
38,60940.3442624749,2,3.442293671851095,4.0010431763492615,2.1978308957370185,27.238813654792803,1
24,84463.41901182914,13,1.887246343201711,2.098026694028313,2.0754276516166867,28.29220931268456,1
45,46331.36419739754,12,8.463828107131835,3.498655897134867,4.991909822233041,14.321107044443384,1
34,49802.8484500005,12,7.360079803099299,1.324656897854858,4.432555700106617,22.68100033985235,1
29,10307.768418283711,1,6.554969252901107,2.808809916414155,2.631751273471364,46.50988427871934,1
46,78396.55020295327,12,2.4038277732903985,3.9563656879718123,4.921044831265997,31.466823001173644,1
22,66277.23926940268,18,5.306465046303657,3.74605577217301,3.6004528936768545,10.985160574211385,1
40,26363.593497335416,5,8.025004241984924,4.260288402703227,3.968089807519041,30.015622797633878,0
48,24828.020000117052,15,3.7326154432945624,4.509808506412675,1.1260521723288464,11.031382187493191,0
27,42547.38745257979,1,3.805208456635373,4.092734005035033,1.4864210373922284,-8.952183118546849,1
28,75873.15883960707,7,1.028268154433099,3.686350971755704,3.5323405059849535,19.795878567338715,1
55,53992.790238227426,16,2.568190614808416,1.1268899672641246,4.596095930597936,35.63201459592985,1
34,43904.2616667935,1,8.878650626096508,3.139866693637776,3.4949749043503826,33.974479604369414,1
37,39877.682138330085,9,4.975718424739364,1.1507908996594112,1.5360995772759671,23.77235169092655,1
56,38981.76084343626,15,9.858110493109905,4.232271268464091,1.4630401849852985,14.582705867501057,1
24,21326.433977848792,5,4.5613716721641335,2.2828980978398303,4.376743583296326,24.864496839126467,1
22,35852.08336707251,1,7.436678093022171,3.2497174964716837,1.5572093548316572,17.308398296890893,1
26,38588.438406456655,1,3.537271386142562,2.1177812292756104,3.0809278420161017,14.863443080306892,1
24,73652.46472914293,12,4.274286770268402,4.130000577521175,1.148453279849209,30.62002202305571,1
49,56685.5389370677,14,2.716533888318052,4.546010106567611,1.3226790695647095,14.73964220289407,1
38,43488.30313965079,1,4.123561316494555,2.594569976852256,3.6893930705714593,31.27236556476076,1
46,106194.45510812374,6,5.925137683785788,4.4516895740439555,3.7567256417100667,14.078140380361871,0
54,46722.061729066685,2,9.925955928813245,2.0683000298253296,2.3658776264337695,40.584919548228896,1
30,83342.05828767273,7,6.977815417646071,3.1386436923020953,1.862439060972179,3.593655597148807,0
56,92422.1711557543,13,2.7932135896748265,4.435045719354816,4.254841083029232,10.432306682954321,0
34,28600.79324685314,6,1.4046529743239602,2.3035253704631615,1.8684129178795614,18.446322658096772,1
51,61479.259281471364,6,2.137208331830595,4.816169060312343,3.168108278665519,0.1595609681193686,1
35,49649.32698183552,0,6.062996811457427,1.4875180071255345,4.872835363451622,-5.709861427551658,0
28,48021.51206881329,16,7.886442959350897,1.073100278894025,1.5914097514495351,0.2459238308939149,0
34,71107.53633613816,8,9.463772865706723,4.616541410312763,4.7635050699788355,17.07910789688992,1
43,47542.59007153432,12,1.1424085479713875,1.274594664591489,1.7315722122746746,17.332899901158868,1
41,50080.61907347059,18,5.704841274056828,4.967556783789966,3.2697728320929182,23.329994812328657,1
36,56637.70208749413,18,5.237806206008591,4.805587447916425,2.5080308478349784,18.029985182236576,0
38,52532.014632468614,16,6.904495197781336,1.5480836401452827,4.859714406007304,22.995164645108492,0
44,36528.59585975749,9,6.036209690188078,3.1503385027702633,2.0941681160077477,15.497835855615978,1
46,75918.13009694948,9,7.183352355242325,1.7396811898685773,2.5986320083430146,27.148157574716812,1
45,80970.61877015201,3,6.9227432627427135,2.7126206921204794,4.931440471421682,25.94310003173522,1
49,66872.37179070435,7,2.053105523721516,1.2457005170393307,3.1458815647538927,16.73307380142481,1
35,52468.94697955468,19,8.197461222568476,1.895698351186358,3.010520462485014,25.330114346723903,1
21,45895.78527340438,19,2.109093181446924,2.453091185595598,2.031113952815965,18.093540640513307,0
45,45927.598741471076,17,7.286775626882234,2.7545900009842192,3.805454241241766,4.776740846068945,1
27,107147.52730065417,13,4.745308308765461,4.909985032835573,1.0574918071111106,29.044966413826216,0
29,78756.76603133288,17,5.624656611189382,4.231462582735925,1.1980505188091741,10.931839534015706,0
44,43197.79842833323,13,9.129682129381395,3.9496397772477847,3.397434348543211,28.938239551417674,1
21,63293.95654874281,19,9.008953538261379,3.148165258967897,2.3666982952738165,23.240267721170234,1
28,52749.299498012755,14,8.360706750895265,4.359991042417374,4.813265488803842,19.154776909828772,0
